CUST_ID, BALANCE , BALANCE_FREQUENCY , PURCHASES , ONEOFF_PURCHASES , INSTALLMENTS_PURCHASES , CASH_ADVANCE , PURCHASES_FREQUENCY , ONEOFF_PURCHASES_FREQUENCY , PURCHASES_INSTALLMENTS_FREQUENCY , CASH_ADVANCE_FREQUENCY , CASH_ADVANCE_TRX , PURCHASES_TRX , CREDIT_LIMIT , PAYMENTS , MINIMUM_PAYMENTS ,PRC_FULL_PAYMENT,TENURE
C10029,"7,152.86",1,387.05,204.55,182.5,"2,236.15",0.67,0.17,0.42,0.83,16,8,"10,500.00","1,601.45","1,648.85",0,12
C10030,22.06,1,100,    ,100,    ,0.42,    ,0.42,    ,    ,5,"6,900.00",160.77,159.68,0,12
C10031,"12,136.22",1,"3,038.01","1,013.20","2,024.81","3,183.58",1,0.17,1,0.5,10,64,"13,000.00","4,230.32","3,292.02",0,12
C10032,"1,162.27",1,"1,347.71",400,947.71,175.82,1,0.08,1,0.17,2,45,"6,000.00",646,256.85,0,12
C10033,"6,732.82",1,324.95,324.95,    ,"1,189.53",0.08,0.08,    ,0.17,3,3,"10,500.00","1,720.12","2,506.75",0,12
C10034,125.66,1,636.79,636.79,    ,    ,0.92,0.92,    ,    ,    ,11,"1,200.00",423.45,196.3,0.3,12
C10035,"3,517.10",0.73,547.28,    ,547.28,    ,1,    ,1,    ,    ,14,"11,000.00","8,735.61","17,862.56",0,12
C10036,"1,656.35",1,    ,    ,    ,99.26,    ,    ,    ,0.08,1,    ,"1,800.00",351.5,634.57,0,12
C10037,"7,427.08",1,    ,    ,    ,"8,873.38",    ,    ,    ,0.73,11,    ,"9,000.00","1,636.36","1,986.84",0,11
C10038,"4,047.48",1,"2,380.55","1,642.17",738.38,"1,697.66",0.75,0.5,0.75,0.33,7,41,"5,000.00","1,617.89","1,541.14",0,12
C10039,"6,269.42",1,204,204,    ,"2,925.70",0.08,0.08,    ,0.33,12,2,"9,000.00","1,237.11","2,049.41",0,12
C10040,"1,411.60",0.45,963.24,963.24,    ,"6,173.68",0.08,0.08,    ,0.33,6,6,"7,500.00","20,071.08",719.95,0.333333,12
C10041,663.45,0.73,    ,    ,    ,"3,133.06",    ,    ,    ,0.25,3,    ,"1,800.00","3,067.06",283.33,0.166667,12
C10043,784.89,0.91,"1,526.59",786.3,740.29,"2,188.42",0.58,0.42,0.33,0.25,11,27,"3,000.00","1,262.31",363.14,0.111111,12
C10044,"4,104.71",1,203.82,203.82,    ,    ,0.08,0.08,    ,    ,    ,1,"4,500.00",868.28,"1,801.26",0,12
C10045,"1,360.74",1,    ,    ,    ,"1,481.59",    ,    ,    ,0.08,1,    ,"1,500.00",378.29,321.35,0,12
C10046,"5,315.95",1,"1,525.44",469.8,"1,055.64",    ,1,0.33,1,    ,    ,20,"8,500.00","1,430.34","1,318.71",0,12
C10047,"2,242.31",1,437,97,340,184.65,0.33,0.08,0.33,0.17,2,5,"2,400.00",    ,,0,12
C10048,474.45,0.5,109.74,    ,109.74,"1,013.66",0.38,    ,0.25,0.13,1,3,"1,700.00",176.01,147.2,0,8
C10049,"3,910.11",1,    ,    ,    ,"1,980.87",    ,    ,    ,0.5,7,    ,"4,200.00",    ,,0,12
C10050,229.87,1,"2,390.60","1,402.93",987.67,    ,1,0.67,1,    ,    ,87,"3,300.00","2,543.95",175.66,0.916667,12
C10051,863.81,1,507.5,507.5,    ,695.1,0.17,0.17,    ,0.08,2,3,"4,000.00",587.87,286.45,0.083333,12
C10052,"4,931.33",1,901.42,646.07,255.35,"8,530.65",0.63,0.38,0.25,0.88,37,9,"12,000.00","8,113.30","1,012.42",0,8
C10053,"1,078.89",1,"3,107.85","2,221.74",886.11,    ,0.67,0.58,0.5,    ,    ,18,"2,500.00","1,399.83","1,322.45",0,12
C10054,"1,565.68",1,    ,    ,    ,321.36,    ,    ,    ,0.25,3,    ,"3,500.00",691.83,581.48,0,12
C10055,464.67,0.89,"1,979.22","1,979.22",    ,"1,981.27",0.67,0.67,    ,0.11,1,11,"3,000.00","3,110.05",132.45,0.2,9
C10056,6.66,0.64,310,    ,310,    ,0.67,    ,0.67,    ,    ,8,"1,000.00",417.02,,0,12
C10057,"1,312.00",1,"1,283.90","1,283.90",    ,    ,0.25,0.25,    ,    ,    ,6,"6,000.00",    ,,0,12
C10058,"3,625.22",1,313.27,313.27,    ,668.47,0.25,0.25,    ,0.42,5,4,"4,000.00",    ,,0,12
C10059,"2,386.33",1,"5,217.62","4,789.09",428.53,    ,0.92,0.92,0.5,    ,    ,42,"7,500.00","5,678.73","1,311.51",0.083333,12
C10060,"3,971.14",1,    ,    ,    ,224.58,    ,    ,    ,0.18,3,    ,"4,000.00",764.94,"1,600.21",0,11
C10061,"5,493.90",1,229,    ,229,970.59,0.42,    ,0.33,0.33,4,6,"6,000.00","2,110.56","1,895.03",0,12
C10062,"1,879.11",0.73,113,113,    ,    ,0.17,0.17,    ,    ,    ,2,"6,500.00","3,509.69",548.11,0,12
C10063,"1,555.79",1,66.2,66.2,    ,    ,0.08,0.08,    ,    ,    ,1,"1,600.00",338.08,837.22,0,12
C10064,809.58,0.91,    ,    ,    ,"3,819.67",    ,    ,    ,0.55,7,    ,"4,150.00","4,372.15",241.65,0.090909,11
C10065,7.15,0.09,840,840,    ,    ,0.08,0.08,    ,    ,    ,1,"1,600.00",    ,,0,12
C10067,"1,923.89",1,"1,887.64",    ,"1,887.64","1,605.95",1,    ,1,0.08,4,61,"1,850.00","3,688.05","3,267.00",0.083333,12
C10068,"1,758.06",1,412.33,325.21,87.12,    ,0.58,0.33,0.17,    ,    ,11,"1,800.00",777.45,897.91,0,12
C10069,809.85,0.88,    ,    ,    ,908.42,    ,    ,    ,0.13,1,    ,"1,500.00",146.07,179.41,0,8
C10070,"1,576.31",1,    ,    ,    ,382.91,    ,    ,    ,0.42,6,    ,"2,500.00",540.02,352.88,0,12
C10071,"3,990.52",1,263.5,190.6,72.9,    ,0.67,0.08,0.58,    ,    ,8,"6,000.00","6,876.84","1,001.61",0.083333,12
C10072,"1,699.44",1,"1,363.69","1,363.69",    ,    ,0.33,0.33,    ,    ,    ,4,"1,700.00","1,623.82",923.51,0,12
C10073,"5,487.68",1,419.1,    ,419.1,625.4,0.92,    ,0.83,0.33,4,11,"6,250.00","1,288.21","2,180.88",0,12
C10074,"2,990.42",0.91,"4,523.27","1,664.09","2,859.18","27,296.49",0.67,0.5,0.58,0.83,27,33,"7,000.00","28,232.69","1,107.03",0.454545,12
C10075,656.01,1,    ,    ,    ,"1,474.35",    ,    ,    ,0.13,3,    ,"7,000.00",910.46,140.98,0.25,8
C10077,"1,808.97",1,713.9,503.08,210.82,    ,0.5,0.1,0.4,    ,    ,8,"2,250.00",889.02,622.76,0,10
C10078,532.33,0.91,791.94,516.64,275.3,    ,0.27,0.09,0.18,    ,    ,7,"6,000.00","1,305.18",175.51,0,11
C10079,"5,860.43",1,561.87,249.5,312.37,    ,0.83,0.17,0.75,    ,    ,14,"6,000.00","1,990.04","2,161.43",0,12
C10080,"1,727.64",1,606.11,606.11,    ,    ,1,1,    ,    ,    ,17,"11,000.00","2,959.92",623.66,0,12
C10081,578.81,1,320,    ,320,    ,0.75,    ,0.67,    ,    ,8,"1,500.00","1,438.91",190.19,0,12
C10082,"1,205.72",1,    ,    ,    ,38.33,    ,    ,    ,0.08,1,    ,"1,200.00",29.28,"8,242.69",0,12
C10083,"6,593.82",1,388.66,388.66,    ,"4,621.93",0.58,0.58,    ,0.42,7,7,"7,000.00","1,624.58","2,503.40",0,12
C10084,17.36,0.91,244.85,40.21,204.64,    ,0.67,0.17,0.58,    ,    ,13,"5,000.00",357.8,121.52,0.181818,12
C10085,81.58,0.27,    ,    ,    ,"2,985.30",    ,    ,    ,0.17,5,    ,"9,500.00",116.57,164.69,0,12
C10086,3.79,0.64,133.05,28.2,104.85,    ,0.42,0.17,0.25,    ,    ,5,"12,000.00",210.05,99.53,0.444444,12
C10087,42.46,0.55,396,    ,396,    ,0.5,    ,0.42,    ,    ,12,"1,200.00",725.61,140.81,1,12
C10088,"1,935.36",1,"4,915.60","4,515.34",400.26,293.84,1,1,0.33,0.08,1,50,"9,000.00","4,921.07",594.76,0,12
C10089,134.92,1,"1,247.80","1,247.80",    ,    ,1,1,    ,    ,    ,22,"16,500.00","1,275.23",171.36,1,12
C10090,"7,069.95",1,"1,603.78","1,445.14",158.64,"5,626.00",1,0.83,1,0.75,23,23,"11,000.00","4,589.87","1,876.26",0,12
C10092,"8,181.25",1,"2,258.01","1,318.78",939.23,"5,251.23",1,0.75,1,0.75,21,60,"13,500.00","3,021.58","2,074.58",0,12
C10093,"4,037.31",1,45,45,    ,104.24,0.08,0.08,    ,0.08,1,1,"4,500.00","1,073.84",968.94,0,12
C10094,"6,110.27",1,    ,    ,    ,"2,717.25",    ,    ,    ,0.42,14,    ,"6,500.00","1,502.21","2,864.38",0,12
C10095,"9,381.26",1,"5,100.07","1,147.83","3,952.24",370.74,1,0.25,0.92,0.08,1,46,"9,000.00","6,409.50","9,827.05",0,12
C10096,"1,977.01",1,"1,032.04",226.9,805.14,"4,335.92",0.91,0.09,0.82,0.55,21,17,"4,000.00","3,056.42",910.71,0.090909,11
C10097,"1,321.48",1,45.65,45.65,    ,495.66,0.08,0.08,    ,0.08,1,1,"1,800.00",440.84,312.56,0,12
C10098,"1,307.72",1,405.6,405.6,    ,    ,0.17,0.17,    ,    ,    ,2,"2,400.00",    ,,0,12
C10099,"2,329.49",1,213.34,213.34,    ,    ,0.25,0.25,    ,    ,    ,3,"2,400.00",    ,,0,12
C10100,"1,139.78",1,    ,    ,    ,120.61,    ,    ,    ,0.08,1,    ,"1,200.00",151.82,"2,906.11",0,12
C10101,"1,619.96",1,739.44,739.44,    ,    ,0.67,0.67,    ,    ,    ,11,"6,000.00",417.13,389.14,0,12
C10102,"3,505.67",1,    ,    ,    ,"1,713.98",    ,    ,    ,0.5,6,    ,"4,000.00",    ,,0,12
C10103,4.71,0.36,79,    ,79,    ,0.25,    ,0.17,    ,    ,3,"7,000.00",217.82,121.78,1,12
C10104,    ,    ,    ,    ,    ,89.85,    ,    ,    ,0.14,1,    ,"3,000.00",138.02,,0,7
C10105,4.88,0.67,20,20,    ,    ,0.11,0.11,    ,    ,    ,1,"1,500.00",26.49,60.91,0,9
C10106,23.39,0.27,"1,346.28",    ,"1,346.28",    ,1,    ,1,    ,    ,12,"2,000.00",712.15,54.79,0,12
C10107,"3,539.80",1,"2,823.80","1,540.41","1,283.39",    ,0.92,0.92,0.83,    ,    ,75,"5,700.00","9,172.79","2,103.80",0.083333,12
C10108,0.62,0.09,389.96,    ,389.96,    ,1,    ,1,    ,    ,31,"4,500.00",    ,,0,12
C10109,862.07,1,    ,    ,    ,920.31,    ,    ,    ,0.08,1,    ,"4,000.00","2,236.89",214.83,0.083333,12
C10110,"2,441.54",1,808,808,    ,959.86,0.25,0.25,    ,0.33,6,4,"4,000.00",532.74,"1,026.98",0,12
C10111,408.66,1,941.64,    ,941.64,    ,1,    ,1,    ,    ,12,"2,500.00","1,097.79",176.61,0.083333,12
C10112,"4,986.40",1,    ,    ,    ,"5,439.47",    ,    ,    ,0.58,40,    ,"8,000.00","1,241.54","1,439.23",0,12
C10113,"1,246.62",1,423.7,177.64,246.06,412.4,0.67,0.17,0.5,0.08,2,10,"2,000.00",577.05,498.37,0,12
C10114,"6,644.20",1,"4,478.75","2,721.59","1,757.16","7,205.52",1,0.92,1,0.58,21,64,"9,000.00","10,857.94","2,469.57",0.083333,12
C10115,156.22,0.82,"1,354.86",585.63,769.23,    ,0.92,0.33,0.83,    ,    ,34,"5,500.00",858.98,108.32,0,12
C10116,"3,393.35",1,    ,    ,    ,"1,008.35",    ,    ,    ,0.08,2,    ,"4,200.00",    ,,0,12
C10117,"5,322.99",1,"2,812.20",857.12,"1,955.08","2,510.35",1,0.25,1,0.33,8,81,"8,500.00","1,509.42","1,834.03",0,12
C10118,"6,458.56",1,    ,    ,    ,"3,360.23",    ,    ,    ,0.25,11,    ,"7,000.00","1,277.77","2,760.12",0,12
C10119,175.34,0.82,"1,508.90","1,252.36",256.54,    ,0.67,0.42,0.33,    ,    ,14,"5,000.00","1,884.23",136.64,1,12
C10120,680.2,1,"1,045.57",667.95,377.62,    ,1,0.58,1,    ,    ,25,"3,000.00",552.43,207.72,0,12
C10121,223.76,0.64,"2,309.78",    ,"2,309.78",    ,0.58,    ,0.5,    ,    ,12,"6,500.00","1,206.81",99.37,0.333333,12
C10122,"1,785.63",1,    ,    ,    ,576.21,    ,    ,    ,0.25,10,    ,"1,800.00",687.69,"2,439.14",0,12
C10123,54.93,0.27,495,    ,495,    ,0.17,    ,0.17,    ,    ,2,"7,000.00","1,969.85",147.05,1,12
C10124,"2,662.63",1,    ,    ,    ,509.02,    ,    ,    ,0.33,4,    ,"3,000.00",932.42,709.21,0,12
C10125,"8,504.88",1,"6,724.26","4,100.08","2,624.18","1,686.60",1,0.92,1,0.5,10,85,"17,000.00","1,888.76","2,167.45",0,12
C10126,"1,464.32",1,"1,174.39","1,174.39",    ,    ,0.25,0.25,    ,    ,    ,8,"9,000.00",    ,,0,12
C10127,"2,114.16",1,"5,580.85",    ,"5,580.85",    ,1,    ,1,    ,    ,75,"8,500.00","3,564.98",630,0,12
C10128,"2,876.40",1,    ,    ,    ,998.85,    ,    ,    ,0.17,2,    ,"3,200.00","1,065.43","1,412.65",0,12
C10130,"14,224.12",1,    ,    ,    ,"4,614.43",    ,    ,    ,0.33,9,    ,"19,000.00","3,066.61","3,406.26",0,12
C10131,"2,392.92",1,"12,462.44","12,462.44",    ,    ,0.92,0.92,    ,    ,    ,217,"2,800.00","11,628.72","2,000.99",0,12
C10132,57.45,0.75,    ,    ,    ,272.71,    ,    ,    ,0.13,1,    ,"1,200.00",385.85,84.7,0.166667,8
C10133,"4,245.86",1,"1,957.30","1,077.30",880,    ,0.83,0.17,0.58,    ,    ,19,"5,000.00","1,004.35","1,086.43",0,12
C10134,"11,167.23",1,150.64,150.64,    ,"8,362.15",0.08,0.08,    ,0.5,14,1,"17,000.00","2,606.06","2,894.08",0,12
C10135,69.41,0.09,    ,    ,    ,"2,799.71",    ,    ,    ,0.08,3,    ,"13,000.00",    ,,0,12
C10136,116.65,0.27,907,907,    ,273.56,0.25,0.25,    ,0.08,1,8,"5,000.00",    ,,0,12
C10137,"4,637.85",1,"1,271.12",351.54,919.58,    ,0.83,0.25,0.83,    ,    ,33,"5,000.00","1,906.03","3,572.28",0,12
C10138,24.28,0.64,250.6,    ,250.6,    ,0.58,    ,0.5,    ,    ,7,"3,000.00",319.76,173.63,0,12
C10139,"9,354.06",1,796.33,796.33,    ,"13,748.47",0.08,0.08,    ,0.67,16,1,"13,000.00","10,664.66","2,600.88",0.083333,12
C10140,231.11,1,440,    ,440,    ,0.92,    ,0.92,    ,    ,22,"4,000.00",554.12,185.09,0,12
C10141,"1,562.63",1,"1,330.62","1,169.63",160.99,    ,0.5,0.17,0.25,    ,    ,8,"2,000.00","1,020.78",709.61,0,12
C10142,"2,494.87",1,"5,491.79","1,390.50","4,101.29",    ,1,0.5,1,    ,    ,52,"17,000.00","1,015.31",615.92,0,12
C10143,706.13,1,897.86,714.52,183.34,586.27,0.92,0.33,0.92,0.25,3,18,"1,200.00",972.36,184.52,0,12
C10144,"19,043.14",1,"22,009.92","9,449.07","12,560.85",    ,1,0.75,1,    ,    ,216,"18,000.00","23,018.58","18,621.01",0,12
C10145,"2,235.10",1,720.6,720.6,    ,723.31,1,1,    ,0.08,1,12,"2,500.00","1,061.29",689.12,0,12
C10146,947.13,1,197.06,148.66,48.4,    ,0.33,0.25,0.17,    ,    ,5,"1,000.00",492.2,509.38,0,12
C10147,764.04,0.82,    ,    ,    ,"1,307.10",    ,    ,    ,0.17,3,    ,"7,500.00","1,566.81",172.96,0,12
C10148,"5,347.81",1,    ,    ,    ,"4,002.35",    ,    ,    ,0.5,9,    ,"7,000.00",    ,,0,12
C10149,"10,598.47",1,"2,084.48","1,300.48",784,    ,0.67,0.42,0.58,    ,    ,13,"21,500.00","3,219.62","3,068.13",0,12
C10150,"2,163.68",1,"5,779.36","3,436.53","2,342.83",    ,1,1,1,    ,    ,97,"6,500.00","4,416.41",546.44,0,12
C10151,"3,057.40",1,"1,025.00","1,025.00",    ,    ,0.08,0.08,    ,    ,    ,2,"7,500.00",698.85,819.68,0,12
C10152,19.35,0.91,689.7,    ,689.7,    ,0.83,    ,0.83,    ,    ,10,"10,000.00",746.69,,0,12
C10153,264.81,1,28.65,28.65,    ,384.26,0.08,0.08,    ,0.08,1,1,"9,000.00","1,235.63",194.32,0.083333,12
C10154,"1,108.22",0.91,944.96,164.96,780,    ,0.5,0.25,0.42,    ,    ,9,"1,500.00","1,955.20",992.65,0,12
C10155,906.57,1,"1,039.20",80,959.2,103.1,0.83,0.08,0.83,0.08,1,11,"13,500.00","1,855.24",468.2,0.083333,12
C10156,"7,679.63",1,"4,059.93",    ,"4,059.93",555.47,0.58,    ,0.5,0.17,7,14,"7,000.00","3,685.61","12,854.94",0,12
C10157,"1,523.91",1,"4,075.37","3,322.28",753.09,    ,1,1,1,    ,    ,31,"6,500.00","2,254.26",329.3,0,12
C10158,49.21,1,870.24,    ,870.24,    ,1,    ,1,    ,    ,24,"8,000.00",835.84,193.01,1,12
C10159,"13,673.08",1,"9,792.23","3,959.81","5,832.42","2,444.45",1,0.75,1,0.75,26,216,"20,000.00","11,717.31","6,042.39",0,12
C10160,106.46,0.64,"2,463.12",789.53,"1,673.59",    ,1,0.5,1,    ,    ,46,"4,000.00","2,573.72",95.34,0.636364,12
C10161,119.76,0.36,"1,859.34",    ,"1,859.34",    ,0.33,    ,0.25,    ,    ,4,"20,000.00","3,104.28",288.9,0.25,12
C10162,"5,837.11",1,"3,488.49","3,262.25",226.24,"3,303.15",1,1,0.5,0.75,15,46,"7,900.00",    ,,0,12
C10163,"1,734.51",1,    ,    ,    ,66.28,    ,    ,    ,0.17,2,    ,"1,800.00",363.47,"2,828.00",0,12
C10164,"2,765.75",1,"7,283.31","5,087.31","2,196.00",    ,1,1,0.67,    ,    ,77,"11,000.00","14,373.39","1,058.13",0.25,12
C10165,"1,046.37",1,295,295,    ,93.58,0.08,0.08,    ,0.08,1,2,"1,200.00",439.41,362.84,0,12
C10166,"2,737.37",1,    ,    ,    ,429.69,    ,    ,    ,0.42,5,    ,"3,000.00",778.83,721.8,0,12
C10167,"4,014.82",1,    ,    ,    ,988.36,    ,    ,    ,0.08,1,    ,"8,500.00","1,009.19","1,177.15",0,12
C10168,871.57,1,648.22,115,533.22,    ,1,0.08,1,    ,    ,27,"1,200.00","1,110.89",208.3,0,12
C10169,"1,610.04",1,557.19,525.64,31.55,    ,0.25,0.08,0.17,    ,    ,5,"4,000.00",422.71,616.01,0,12
C10170,114.59,1,469.98,    ,469.98,    ,1,    ,0.83,    ,    ,6,"1,000.00",367.11,86.1,0.5,6
C10171,"5,800.59",1,    ,    ,    ,369.95,    ,    ,    ,0.08,1,    ,"6,500.00","1,346.37","1,972.53",0,12
C10172,823.1,0.36,131.64,    ,131.64,    ,1,    ,1,    ,    ,12,"8,000.00","2,916.07",243.2,0,12
C10173,595.68,1,"5,078.14","4,330.53",747.61,"1,424.44",0.92,0.67,0.75,0.08,1,42,"15,000.00","4,756.65",241.89,0.916667,12
C10174,"1,128.12",1,924.6,    ,924.6,    ,1,    ,1,    ,    ,12,"1,000.00","1,202.71","1,747.04",0,12
C10175,349.44,1,"1,975.40","1,393.50",581.9,    ,0.67,0.42,0.33,    ,    ,17,"4,000.00","1,795.01",167.22,0,12
C10176,840.8,0.67,    ,    ,    ,"3,671.78",    ,    ,    ,0.22,5,    ,"4,000.00","3,621.27",193.17,0,9
C10177,975.94,1,"10,221.35","7,141.38","3,079.97","1,620.69",1,1,0.83,0.58,18,130,"10,500.00","10,693.50",347.64,0.75,12
C10178,23.11,0.36,300,    ,300,    ,0.25,    ,0.17,    ,    ,3,"12,500.00",291.95,43.45,0.181818,12
C10179,"2,187.73",0.86,    ,    ,    ,"3,905.33",    ,    ,    ,0.29,9,    ,"3,000.00","1,423.79",461.37,0.2,7
C10180,"11,972.01",1,"5,715.00","4,685.54","1,029.46","1,626.35",1,1,1,0.17,3,90,"14,000.00","4,639.51","3,192.31",0,12
C10181,"1,608.45",1,    ,    ,    ,205.74,    ,    ,    ,0.17,2,    ,"1,800.00",470.57,408.8,0,12
C10182,"1,872.93",1,766.61,766.61,    ,"1,017.12",0.83,0.83,    ,0.25,5,12,"2,300.00",    ,,0,12
C10183,"2,933.24",1,    ,    ,    ,"2,040.43",    ,    ,    ,0.58,13,    ,"3,000.00","2,431.58","1,739.75",0,12
C10184,336.8,1,"3,535.80","1,614.70","1,921.10",    ,1,0.42,0.92,    ,    ,44,"20,000.00","2,814.23",186.23,1,12
C10185,36.24,0.45,256.11,    ,256.11,    ,0.42,    ,0.42,    ,    ,5,"5,300.00",831.38,189.04,0.166667,12
C10186,903.3,1,"2,697.48",150.5,"2,546.98",    ,1,0.33,1,    ,    ,39,"2,500.00","1,686.20",303.36,0,12
C10187,    ,    ,23,    ,23,    ,0.08,    ,0.08,    ,    ,1,"5,000.00",    ,,0,12
C10188,"2,881.25",1,117,    ,117,"17,661.49",0.25,    ,0.17,0.75,28,3,"4,500.00","17,301.83",931.62,0.166667,12
C10189,5.47,0.09,196.81,173,23.81,    ,0.08,0.08,0.08,    ,    ,3,"12,000.00",    ,,0,12
C10190,117.44,1,653.73,493,160.73,    ,0.67,0.42,0.42,    ,    ,15,"10,000.00",441.59,136.83,0,12
C10191,168.52,0.82,"2,009.05",    ,"2,009.05",    ,0.83,    ,0.75,    ,    ,22,"1,200.00","2,612.76",197.64,0.142857,12
C10192,"1,706.01",1,147.78,    ,147.78,"1,657.09",0.17,    ,0.17,0.25,4,2,"6,000.00","1,186.06",374.6,0,12
C10193,874.58,1,516.54,159.07,357.47,    ,1,0.33,0.92,    ,    ,30,900,579.75,693.89,0,12
C10194,861,1,969.56,969.56,    ,446.23,0.42,0.42,    ,0.08,1,6,"2,400.00",    ,,0,12
C10196,966.25,1,311.45,311.45,    ,955.96,0.33,0.33,    ,0.08,1,15,"1,500.00",277.52,286.3,0,12
C10197,38.62,0.73,280.4,280.4,    ,    ,0.25,0.25,    ,    ,    ,3,"6,150.00",254.39,55.8,0.090909,12
C10198,189.69,1,66.14,66.14,    ,    ,0.08,0.08,    ,    ,    ,2,"6,000.00",    ,,0,12
C10199,40.42,0.36,79.2,79.2,    ,"1,631.58",0.08,0.08,    ,0.08,1,1,"4,000.00","1,647.88",24.82,0.083333,12
C10200,"5,462.90",1,"1,453.32",    ,"1,453.32",    ,0.5,    ,0.5,    ,    ,18,"16,500.00","1,382.27","1,755.25",0,12
C10201,"3,983.92",1,756.54,756.54,    ,    ,0.5,0.5,    ,    ,    ,15,"4,000.00","1,110.87","1,431.20",0,12
C10202,"5,588.85",1,"3,507.35",603.75,"2,903.60",    ,0.92,0.17,0.83,    ,    ,34,"11,500.00","1,412.60","1,825.18",0,12
C10203,281.17,0.82,"3,163.69",56.8,"3,106.89",    ,0.75,0.08,0.67,    ,    ,36,"8,000.00","2,422.91",187.05,0.888889,12
C10204,130.25,0.91,"1,343.19","1,082.79",260.4,    ,1,1,0.58,    ,    ,33,"15,000.00","1,043.56",182.43,0.545455,12
C10205,"1,973.81",1,873,873,    ,    ,0.17,0.17,    ,    ,    ,5,"8,000.00",541.72,762.68,0,12
